admin2_idx,n_samples,r2_full,r2_no_energy,r2_no_surface,r2_no_root,delta_energy,delta_surface,delta_root,max_delta,dominance_class,koppen_id,koppen_name,total_mismatch_freq,risk_class,avg_production
167,1051,-0.0797890156344716,0.0302733868241278,-0.1176518283737884,-0.3481687455506033,0.0,0.0378628127393168,0.2683797299161317,0.2683797299161317,0,1,Tropical,,,
168,1051,0.3120952170773192,0.2621278196388434,0.3076938930503767,0.1252812724875552,0.0499673974384757,0.0044013240269424,0.1868139445897639,0.1868139445897639,1,1,Tropical,,,96876.56
179,1051,-1.6684664402305676,-1.3749445068989423,-1.688798919085095,-0.6990099569808814,0.0,0.0203324788545273,0.0,0.0203324788545273,0,1,Tropical,,,96150.88363636364
227,1051,-0.2255391543922045,-0.2175166218779001,-0.2103377412726756,-0.0239138189021204,0.0,0.0,0.0,0.0,0,1,Tropical,,,2674.3076923076924
228,1051,-0.1083483186895051,-0.1163268472029965,-0.121344242430176,-0.1139879594199828,0.0079785285134914,0.0129959237406709,0.0056396407304777,0.0129959237406709,0,1,Tropical,,,3907.2727272727275
234,1051,0.3837821470591965,0.2705477102442346,0.3845883880706978,0.2542937912245921,0.1132344368149619,0.0,0.1294883558346043,0.1294883558346043,4,1,Tropical,,,30709.1
235,1051,0.3125188128176914,0.2236070421566731,0.2962206553786068,0.0943094728553103,0.0889117706610183,0.0162981574390845,0.2182093399623811,0.2182093399623811,1,1,Tropical,0.01985981308411215,0.0,22288.69230769231
237,1051,0.4183309291182269,0.2380588944518934,0.3918424636026809,0.3241341813528183,0.1802720346663334,0.0264884655155459,0.0941967477654085,0.1802720346663334,2,1,Tropical,0.02336448598130841,0.0,14062.615384615385
238,1051,0.331652983021834,0.2358138510086769,0.3089230528110021,0.1803092733581546,0.095839132013157,0.0227299302108319,0.1513437096636793,0.1513437096636793,1,1,Tropical,,,2387.3846153846152
239,1051,0.2008735251476902,0.0972557898966377,0.1821509777317613,0.1459935795270915,0.1036177352510524,0.0187225474159288,0.0548799456205986,0.1036177352510524,2,1,Tropical,,,2875.230769230769
